"취업일자","연령","장애유형","중증여부","근무지역","취업직종대분류","연령대","장애유형_중증여부","월","근무지역분류"
"2020-01-01",46,"지적장애","중증","충북 충주시","청소 및 기타 개인서비스직",4,"지적장애-중증","01","충북"
"2020-01-01",37,"지적장애","중증","충북 충주시","청소 및 기타 개인서비스직",3,"지적장애-중증","01","충북"
"2020-01-01",40,"지적장애","중증","충북 충주시","청소 및 기타 개인서비스직",4,"지적장애-중증","01","충북"
"2020-01-01",30,"지적장애","중증","충북 충주시","청소 및 기타 개인서비스직",3,"지적장애-중증","01","충북"
"2020-01-01",30,"지적장애","중증","충북 충주시","청소 및 기타 개인서비스직",3,"지적장애-중증","01","충북"
"2020-01-01",44,"지적장애","중증","충북 충주시","청소 및 기타 개인서비스직",4,"지적장애-중증","01","충북"
"2020-01-01",54,"지체장애","중증","충북 충주시","청소 및 기타 개인서비스직",5,"지체장애-중증","01","충북"
"2020-01-01",51,"지체장애","중증","충북 충주시","청소 및 기타 개인서비스직",5,"지체장애-중증","01","충북"
"2020-01-01",38,"지적장애","중증","충북 충주시","청소 및 기타 개인서비스직",3,"지적장애-중증","01","충북"
"2020-01-01",49,"시각장애","중증","충북 충주시","청소 및 기타 개인서비스직",4,"시각장애-중증","01","충북"
"2020-01-01",62,"지적장애","중증","충북 충주시","청소 및 기타 개인서비스직",6,"지적장애-중증","01","충북"
"2020-01-01",60,"지체장애","중증","충북 충주시","청소 및 기타 개인서비스직",6,"지체장애-중증","01","충북"
"2020-01-01",52,"지적장애","중증","충북 충주시","청소 및 기타 개인서비스직",5,"지적장애-중증","01","충북"
"2020-01-01",37,"지적장애","중증","충북 충주시","청소 및 기타 개인서비스직",3,"지적장애-중증","01","충북"
"2020-01-01",47,"지체장애","중증","충북 충주시","청소 및 기타 개인서비스직",4,"지체장애-중증","01","충북"
"2020-01-01",61,"지체장애","중증","충북 충주시","청소 및 기타 개인서비스직",6,"지체장애-중증","01","충북"
"2020-01-01",52,"지체장애","중증","충북 충주시","청소 및 기타 개인서비스직",5,"지체장애-중증","01","충북"
"2020-01-01",37,"지적장애","중증","충북 충주시","청소 및 기타 개인서비스직",3,"지적장애-중증","01","충북"
"2020-01-01",48,"지적장애","중증","충북 충주시","청소 및 기타 개인서비스직",4,"지적장애-중증","01","충북"
"2020-01-01",40,"지적장애","중증","충북 충주시","청소 및 기타 개인서비스직",4,"지적장애-중증","01","충북"
"2020-01-01",63,"지체장애","중증","충북 충주시","청소 및 기타 개인서비스직",6,"지체장애-중증","01","충북"
"2020-01-01",65,"지체장애","중증","충북 충주시","청소 및 기타 개인서비스직",6,"지체장애-중증","01","충북"
"2020-11-12",28,"지적장애","중증","경기 수원시 영통구","청소 및 기타 개인서비스직",2,"지적장애-중증","11","경기"
"2020-12-07",25,"지적장애","중증","경기 수원시 영통구","청소 및 기타 개인서비스직",2,"지적장애-중증","12","경기"
"2020-11-12",38,"지적장애","중증","경기 수원시 영통구","청소 및 기타 개인서비스직",3,"지적장애-중증","11","경기"
"2020-12-07",21,"지적장애","중증","경기 수원시 영통구","청소 및 기타 개인서비스직",2,"지적장애-중증","12","경기"
"2020-10-12",53,"지체장애","중증","경기 수원시 영통구","경영·행정·사무직",5,"지체장애-중증","10","경기"
"2020-10-12",58,"지체장애","경증","경기 수원시 영통구","경영·행정·사무직",5,"지체장애-경증","10","경기"
"2020-03-11",24,"지적장애","중증","경기 수원시","보건·의료직",2,"지적장애-중증","03","경기"
"2020-03-16",20,"지적장애","중증","경기 수원시 영통구","보건·의료직",2,"지적장애-중증","03","경기"
"2020-03-05",30,"지적장애","중증","경기 수원시 영통구","보건·의료직",3,"지적장애-중증","03","경기"
"2020-03-05",24,"정신장애","중증","경기 수원시 영통구","보건·의료직",2,"정신장애-중증","03","경기"
"2020-03-05",29,"지적장애","중증","경기 수원시 영통구","보건·의료직",2,"지적장애-중증","03","경기"
"2020-03-05",24,"지적장애","중증","경기 수원시 영통구","보건·의료직",2,"지적장애-중증","03","경기"
"2020-03-05",24,"청각장애","중증","경기 수원시","보건·의료직",2,"청각장애-중증","03","경기"
"2020-03-16",23,"지적장애","중증","경기 수원시 영통구","보건·의료직",2,"지적장애-중증","03","경기"
"2020-02-10",29,"청각장애","경증","경기 수원시 영통구","보건·의료직",2,"청각장애-경증","02","경기"
"2020-02-10",51,"정신장애","중증","경기 수원시 영통구","보건·의료직",5,"정신장애-중증","02","경기"
"2020-06-11",29,"지적장애","중증","경기 수원시 영통구","보건·의료직",2,"지적장애-중증","06","경기"
"2020-06-11",54,"시각장애","경증","경기 수원시 영통구","보건·의료직",5,"시각장애-경증","06","경기"
"2020-06-11",53,"시각장애","경증","경기 수원시 영통구","보건·의료직",5,"시각장애-경증","06","경기"
"2020-06-11",30,"지적장애","중증","경기 수원시 영통구","보건·의료직",3,"지적장애-중증","06","경기"
"2020-08-03",26,"지적장애","중증","경기 수원시 영통구","보건·의료직",2,"지적장애-중증","08","경기"
"2020-08-03",45,"지체장애","경증","경기 수원시 영통구","보건·의료직",4,"지체장애-경증","08","경기"
"2020-08-03",25,"지적장애","중증","경기 수원시 영통구","보건·의료직",2,"지적장애-중증","08","경기"
"2020-08-03",32,"지체장애","경증","경기 수원시","청소 및 기타 개인서비스직",3,"지체장애-경증","08","경기"
"2020-08-03",25,"지체장애","경증","경기 수원시 영통구","보건·의료직",2,"지체장애-경증","08","경기"
"2020-08-12",25,"지적장애","중증","경기 수원시 영통구","청소 및 기타 개인서비스직",2,"지적장애-중증","08","경기"
"2020-09-11",31,"지적장애","중증","경기 수원시 영통구","보건·의료직",3,"지적장애-중증","09","경기"
"2020-09-11",32,"정신장애","중증","경기 수원시 영통구","보건·의료직",3,"정신장애-중증","09","경기"
"2020-05-15",25,"지적장애","중증","경기 수원시 영통구","보건·의료직",2,"지적장애-중증","05","경기"
"2020-05-15",26,"지적장애","중증","경기 수원시 영통구","보건·의료직",2,"지적장애-중증","05","경기"
"2020-05-15",28,"지적장애","중증","경기 수원시 영통구","보건·의료직",2,"지적장애-중증","05","경기"
"2020-05-15",47,"지체장애","경증","경기 수원시 영통구","보건·의료직",4,"지체장애-경증","05","경기"
"2020-12-07",38,"정신장애","중증","경기 수원시 영통구","청소 및 기타 개인서비스직",3,"정신장애-중증","12","경기"
"2020-12-07",47,"청각장애","경증","경기 수원시 영통구","청소 및 기타 개인서비스직",4,"청각장애-경증","12","경기"
"2020-01-01",69,"시각장애","중증","인천 남동구","보건·의료직",6,"시각장애-중증","01","인천"
"2020-01-01",40,"시각장애","중증","인천 남동구","보건·의료직",4,"시각장애-중증","01","인천"
"2020-10-19",30,"지체장애","중증","서울 송파구","경영·행정·사무직",3,"지체장애-중증","10","서울"
"2020-10-19",23,"지적장애","중증","서울 송파구","경영·행정·사무직",2,"지적장애-중증","10","서울"
"2020-10-19",32,"정신장애","중증","서울 송파구","경영·행정·사무직",3,"정신장애-중증","10","서울"
"2020-01-01",47,"청각장애","경증","강원 강릉시","경영·행정·사무직",4,"청각장애-경증","01","강원"
"2020-01-01",25,"지체장애","경증","경북 포항시","경영·행정·사무직",2,"지체장애-경증","01","경북"
"2020-01-01",23,"지체장애","경증","울산 중구","경영·행정·사무직",2,"지체장애-경증","01","울산"
"2020-03-02",30,"정신장애","중증","울산 중구","경영·행정·사무직",3,"정신장애-중증","03","울산"
"2020-12-14",20,"청각장애","중증","서울 강남구","스포츠·레크리에이션직",2,"청각장애-중증","12","서울"
"2020-12-14",36,"지체장애","중증","서울 강남구","스포츠·레크리에이션직",3,"지체장애-중증","12","서울"
"2020-12-14",23,"청각장애","중증","서울 강남구","스포츠·레크리에이션직",2,"청각장애-중증","12","서울"
"2020-12-14",31,"지체장애","중증","서울 강남구","스포츠·레크리에이션직",3,"지체장애-중증","12","서울"
"2020-12-14",20,"청각장애","중증","서울 강남구","스포츠·레크리에이션직",2,"청각장애-중증","12","서울"
"2020-12-14",26,"청각장애","중증","서울 강남구","스포츠·레크리에이션직",2,"청각장애-중증","12","서울"
"2020-12-14",28,"청각장애","중증","서울 강남구","스포츠·레크리에이션직",2,"청각장애-중증","12","서울"
"2020-05-01",24,"지체장애","경증","대전 동구","경영·행정·사무직",2,"지체장애-경증","05","대전"
"2020-07-01",57,"지체장애","경증","대전 동구","경호·경비직",5,"지체장애-경증","07","대전"
"2020-01-15",28,"지적장애","중증","부산 영도구","경영·행정·사무직",2,"지적장애-중증","01","부산"
"2020-01-01",38,"시각장애","경증","서울 구로구","경영·행정·사무직",3,"시각장애-경증","01","서울"
"2020-01-01",56,"지체장애","경증","서울 구로구","경영·행정·사무직",5,"지체장애-경증","01","서울"
"2020-01-01",57,"지체장애","경증","서울 구로구","경영·행정·사무직",5,"지체장애-경증","01","서울"
"2020-01-01",67,"지체장애","경증","서울 구로구","경영·행정·사무직",6,"지체장애-경증","01","서울"
"2020-01-01",67,"지체장애","경증","서울 구로구","경영·행정·사무직",6,"지체장애-경증","01","서울"
"2020-01-01",71,"지체장애","경증","서울 구로구","경영·행정·사무직",7,"지체장애-경증","01","서울"
"2020-01-01",60,"시각장애","중증","서울 구로구","경영·행정·사무직",6,"시각장애-중증","01","서울"
"2020-01-01",30,"청각장애","경증","서울 구로구","경영·행정·사무직",3,"청각장애-경증","01","서울"
"2020-01-01",48,"지적장애","중증","서울 구로구","경영·행정·사무직",4,"지적장애-중증","01","서울"
"2020-01-01",62,"지체장애","경증","서울 구로구","경영·행정·사무직",6,"지체장애-경증","01","서울"
"2020-01-01",52,"정신장애","중증","서울 구로구","경영·행정·사무직",5,"정신장애-중증","01","서울"
"2020-01-01",54,"지체장애","중증","서울 구로구","경영·행정·사무직",5,"지체장애-중증","01","서울"
"2020-01-01",23,"청각장애","중증","서울 구로구","경영·행정·사무직",2,"청각장애-중증","01","서울"
"2020-01-01",64,"지체장애","경증","서울 구로구","경영·행정·사무직",6,"지체장애-경증","01","서울"
"2020-01-01",41,"정신장애","경증","서울 구로구","경영·행정·사무직",4,"정신장애-경증","01","서울"
"2020-01-01",39,"지적장애","중증","서울 구로구","경영·행정·사무직",3,"지적장애-중증","01","서울"
"2020-01-01",54,"지체장애","경증","서울 구로구","경영·행정·사무직",5,"지체장애-경증","01","서울"
"2020-01-01",22,"지체장애","중증","서울 구로구","경영·행정·사무직",2,"지체장애-중증","01","서울"
"2020-01-10",37,"지적장애","중증","서울 구로구","경영·행정·사무직",3,"지적장애-중증","01","서울"
"2020-01-31",71,"지체장애","경증","서울 구로구","경영·행정·사무직",7,"지체장애-경증","01","서울"
"2020-01-31",65,"지체장애","중증","서울 구로구","경영·행정·사무직",6,"지체장애-중증","01","서울"
"2020-01-31",48,"정신장애","중증","서울 구로구","경영·행정·사무직",4,"정신장애-중증","01","서울"
"2020-02-24",45,"청각장애","중증","서울 구로구","경영·행정·사무직",4,"청각장애-중증","02","서울"
"2020-08-10",59,"지체장애","경증","서울 구로구","경영·행정·사무직",5,"지체장애-경증","08","서울"
"2020-01-01",56,"청각장애","중증","서울 구로구","경영·행정·사무직",5,"청각장애-중증","01","서울"
"2020-01-01",60,"지체장애","중증","서울 구로구","경영·행정·사무직",6,"지체장애-중증","01","서울"
"2020-01-01",62,"지체장애","경증","서울 구로구","경영·행정·사무직",6,"지체장애-경증","01","서울"
"2020-01-01",50,"지체장애","경증","서울 구로구","경영·행정·사무직",5,"지체장애-경증","01","서울"
"2020-01-01",62,"지체장애","경증","서울 구로구","경영·행정·사무직",6,"지체장애-경증","01","서울"
"2020-01-01",66,"지체장애","경증","서울 구로구","경영·행정·사무직",6,"지체장애-경증","01","서울"
"2020-01-01",64,"지체장애","경증","서울 구로구","경영·행정·사무직",6,"지체장애-경증","01","서울"
"2020-01-01",53,"지체장애","중증","서울 구로구","경영·행정·사무직",5,"지체장애-중증","01","서울"
"2020-01-01",43,"청각장애","중증","서울 구로구","경영·행정·사무직",4,"청각장애-중증","01","서울"
"2020-01-01",43,"지체장애","중증","서울 구로구","경영·행정·사무직",4,"지체장애-중증","01","서울"
"2020-09-18",24,"지체장애","중증","인천 서구","경영·행정·사무직",2,"지체장애-중증","09","인천"
"2020-09-18",56,"지체장애","경증","인천 서구","경영·행정·사무직",5,"지체장애-경증","09","인천"
"2020-07-13",50,"시각장애","경증","인천 서구","경영·행정·사무직",5,"시각장애-경증","07","인천"
"2020-07-13",55,"지체장애","경증","인천 서구","경영·행정·사무직",5,"지체장애-경증","07","인천"
"2020-05-25",25,"시각장애","경증","충북 음성군","경영·행정·사무직",2,"시각장애-경증","05","충북"
"2020-06-01",63,"지체장애","경증","충북 음성군","청소 및 기타 개인서비스직",6,"지체장애-경증","06","충북"
"2020-01-01",22,"지적장애","중증","서울 금천구","경영·행정·사무직",2,"지적장애-중증","01","서울"
"2020-01-01",60,"시각장애","경증","서울 금천구","경영·행정·사무직",6,"시각장애-경증","01","서울"
"2020-01-01",29,"지적장애","중증","서울 금천구","경영·행정·사무직",2,"지적장애-중증","01","서울"
"2020-01-01",24,"청각장애","중증","서울 금천구","경영·행정·사무직",2,"청각장애-중증","01","서울"
"2020-01-01",42,"정신장애","중증","서울 금천구","경영·행정·사무직",4,"정신장애-중증","01","서울"
"2020-01-01",47,"지체장애","중증","서울 금천구","경영·행정·사무직",4,"지체장애-중증","01","서울"
"2020-01-01",59,"지체장애","경증","서울 금천구","경영·행정·사무직",5,"지체장애-경증","01","서울"
"2020-01-01",53,"시각장애","중증","서울 금천구","경영·행정·사무직",5,"시각장애-중증","01","서울"
"2020-01-01",29,"지적장애","중증","서울 금천구","경영·행정·사무직",2,"지적장애-중증","01","서울"
"2020-07-08",53,"지체장애","경증","서울 성동구","운전·운송직",5,"지체장애-경증","07","서울"
"2020-01-01",70,"지체장애","경증","전북 전주시","청소 및 기타 개인서비스직",7,"지체장애-경증","01","전북"
"2020-01-01",78,"청각장애","경증","전북 전주시","청소 및 기타 개인서비스직",7,"청각장애-경증","01","전북"
"2020-01-01",69,"지체장애","경증","전북 전주시","청소 및 기타 개인서비스직",6,"지체장애-경증","01","전북"
"2020-01-01",71,"시각장애","경증","전북 전주시","청소 및 기타 개인서비스직",7,"시각장애-경증","01","전북"
"2020-01-01",69,"지체장애","경증","전북 전주시","청소 및 기타 개인서비스직",6,"지체장애-경증","01","전북"
"2020-01-01",68,"지체장애","경증","전북 전주시","청소 및 기타 개인서비스직",6,"지체장애-경증","01","전북"
"2020-01-01",72,"지체장애","경증","전북 전주시","청소 및 기타 개인서비스직",7,"지체장애-경증","01","전북"
"2020-01-01",41,"시각장애","중증","광주 서구","보건·의료직",4,"시각장애-중증","01","광주"
"2020-01-01",43,"시각장애","중증","광주 서구","보건·의료직",4,"시각장애-중증","01","광주"
"2020-01-01",67,"시각장애","중증","광주 남구","보건·의료직",6,"시각장애-중증","01","광주"
"2020-01-01",67,"시각장애","중증","광주 북구","보건·의료직",6,"시각장애-중증","01","광주"
"2020-01-01",65,"시각장애","중증","광주 북구","보건·의료직",6,"시각장애-중증","01","광주"
"2020-01-01",67,"시각장애","중증","광주 남구","보건·의료직",6,"시각장애-중증","01","광주"
"2020-01-01",73,"시각장애","중증","광주 남구","보건·의료직",7,"시각장애-중증","01","광주"
"2020-01-01",57,"시각장애","중증","광주 북구","보건·의료직",5,"시각장애-중증","01","광주"
"2020-01-01",78,"시각장애","중증","광주 남구","보건·의료직",7,"시각장애-중증","01","광주"
"2020-01-01",49,"시각장애","중증","광주 남구","보건·의료직",4,"시각장애-중증","01","광주"
"2020-01-01",71,"시각장애","중증","광주 북구","보건·의료직",7,"시각장애-중증","01","광주"
"2020-01-01",64,"시각장애","중증","광주 남구","보건·의료직",6,"시각장애-중증","01","광주"
"2020-01-01",68,"시각장애","중증","광주 서구","보건·의료직",6,"시각장애-중증","01","광주"
"2020-01-01",35,"시각장애","중증","광주 남구","보건·의료직",3,"시각장애-중증","01","광주"
"2020-01-01",69,"시각장애","중증","광주 북구","보건·의료직",6,"시각장애-중증","01","광주"
"2020-01-01",61,"시각장애","중증","광주 북구","보건·의료직",6,"시각장애-중증","01","광주"
"2020-01-01",67,"시각장애","중증","광주 남구","보건·의료직",6,"시각장애-중증","01","광주"
"2020-01-01",68,"시각장애","중증","광주 북구","보건·의료직",6,"시각장애-중증","01","광주"
"2020-01-01",58,"시각장애","중증","광주 남구","보건·의료직",5,"시각장애-중증","01","광주"
"2020-01-01",50,"시각장애","중증","광주 남구","보건·의료직",5,"시각장애-중증","01","광주"
"2020-01-01",45,"시각장애","경증","광주 남구","보건·의료직",4,"시각장애-경증","01","광주"
"2020-01-01",51,"시각장애","경증","광주 남구","보건·의료직",5,"시각장애-경증","01","광주"
"2020-01-01",54,"지적장애","중증","광주 남구","보건·의료직",5,"지적장애-중증","01","광주"
"2020-01-01",49,"시각장애","중증","광주 서구","보건·의료직",4,"시각장애-중증","01","광주"
"2020-01-01",63,"시각장애","경증","광주 남구","보건·의료직",6,"시각장애-경증","01","광주"
"2020-01-01",68,"시각장애","중증","광주 남구","보건·의료직",6,"시각장애-중증","01","광주"
"2020-01-01",70,"시각장애","중증","광주 북구","보건·의료직",7,"시각장애-중증","01","광주"
"2020-01-01",48,"시각장애","중증","광주 북구","보건·의료직",4,"시각장애-중증","01","광주"
"2020-01-01",43,"시각장애","경증","광주 남구","보건·의료직",4,"시각장애-경증","01","광주"
"2020-01-04",50,"시각장애","중증","광주 남구","보건·의료직",5,"시각장애-중증","01","광주"
"2020-01-13",72,"시각장애","중증","광주 남구","보건·의료직",7,"시각장애-중증","01","광주"
"2020-01-01",68,"시각장애","중증","광주 광산구","보건·의료직",6,"시각장애-중증","01","광주"
"2020-01-01",64,"시각장애","중증","광주 광산구","보건·의료직",6,"시각장애-중증","01","광주"
"2020-01-01",68,"시각장애","중증","광주 남구","보건·의료직",6,"시각장애-중증","01","광주"
"2020-01-01",69,"시각장애","중증","광주 남구","보건·의료직",6,"시각장애-중증","01","광주"
"2020-01-01",61,"시각장애","중증","광주 광산구","보건·의료직",6,"시각장애-중증","01","광주"
"2020-01-01",70,"시각장애","중증","광주 남구","보건·의료직",7,"시각장애-중증","01","광주"
